zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
42,"3,783 ",51.34297738,-0.82387107,urban,0 ,,,GU46 7,,,
43,"5,277 ",51.29262928,-0.853039974,urban,0 ,,,GU51 1,,,
44,"2,559 ",51.29372046,-0.827961496,urban,0 ,,,GU51 2,,,
45,"8,575 ",51.28155872,-0.831043333,urban,0 ,,,GU51 3,,,
46,"4,362 ",51.28398193,-0.844727461,urban,0 ,,,GU51 4,,,
47,"4,372 ",51.27566164,-0.856712305,urban,0 ,,,GU51 5,,,
48,"2,470 ",51.26035954,-0.848289449,urban,0 ,,,GU52 0,,,
49,"7,126 ",51.26695243,-0.838050467,urban,0 ,,,GU52 6,,,
50,"3,640 ",51.27382557,-0.83828914,urban,0 ,,,GU52 7,,,
51,"5,584 ",51.26045816,-0.833603184,urban,0 ,,,GU52 8,,,
52,"5,804 ",50.79983632,-1.086858805,urban,0 ,,,PO1 1,,,
53,"4,956 ",50.79424831,-1.096786733,urban,0 ,,,PO1 2,,,
54,"5,428 ",50.79876493,-1.102689671,urban,0 ,,,PO1 3,,,
55,"5,031 ",50.80440881,-1.0849843,urban,0 ,,,PO1 4,,,
56,"10,242 ",50.80220356,-1.0751518,urban,0 ,,,PO1 5,,,
57,"10,273 ",50.85284774,-0.940393803,urban,0 ,,,PO10 7,,,
58,"7,519 ",50.79829341,-0.985966554,urban,0 ,,,PO11 0,,,
59,"9,870 ",50.78571802,-0.968531634,urban,"32,541 ",50.783816,-0.961442,PO11 9,Hayling Island,4,j7
60,"8,403 ",50.79564394,-1.129617971,urban,0 ,,,PO12 1,,,
61,"10,332 ",50.78839742,-1.148249125,urban,0 ,,,PO12 2,,,
62,"11,666 ",50.79981368,-1.149297451,urban,0 ,,,PO12 3,,,
63,"15,965 ",50.80763388,-1.141889627,urban,0 ,,,PO12 4,,,
64,"15,419 ",50.82254172,-1.171899499,urban,0 ,,,PO13 0,,,
65,"8,552 ",50.80240556,-1.179692057,urban,"147,963 ",50.796712,-1.167894,PO13 8,Gosport,1,j8
66,"11,731 ",50.80502692,-1.186899096,urban,0 ,,,PO13 9,,,
67,"8,552 ",50.84479938,-1.196306634,urban,0 ,,,PO14 1,,,
68,"7,628 ",50.82502311,-1.212076669,urban,0 ,,,PO14 2,,,
